#,Species,Type1,Type2,Total,HP,Atk,Def,SpA,SpD,Spe,Generation,Legendary
61,Poliwhirl,Water,Null,385,65,65,65,50,50,90,1,False
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,False
63,Abra,Psychic,Null,310,25,20,15,105,55,90,1,False
64,Kadabra,Psychic,Null,400,40,35,30,120,70,105,1,False
65,Alakazam,Psychic,Null,500,55,50,45,135,95,120,1,False
66,Machop,Fighting,Null,305,70,80,50,35,35,35,1,False
67,Machoke,Fighting,Null,405,80,100,70,50,60,45,1,False
68,Machamp,Fighting,Null,505,90,130,80,65,85,55,1,False
69,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,False
70,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,False
71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,False
72,Tentacool,Water,Poison,335,40,40,35,50,100,70,1,False
73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,False
74,Geodude,Rock,Ground,300,40,80,100,30,30,20,1,False
75,Graveler,Rock,Ground,390,55,95,115,45,45,35,1,False
76,Golem,Rock,Ground,495,80,120,130,55,65,45,1,False
77,Ponyta,Fire,Null,410,50,85,55,65,65,90,1,False
78,Rapidash,Fire,Null,500,65,100,70,80,80,105,1,False
79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,False
80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,False
81,Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,False
82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,False
83,Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,1,False
84,Doduo,Normal,Flying,310,35,85,45,35,35,75,1,False
85,Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,False
86,Seel,Water,Null,325,65,45,55,45,70,45,1,False
87,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,False
88,Grimer,Poison,Null,325,80,80,50,40,50,25,1,False
89,Muk,Poison,Null,500,105,105,75,65,100,50,1,False
90,Shellder,Water,Null,305,30,65,100,45,25,40,1,False
91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False
92,Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,False
93,Haunter,Ghost,Poison,405,45,50,45,115,55,95,1,False
94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,False
95,Onix,Rock,Ground,385,35,45,160,30,45,70,1,False
96,Drowzee,Psychic,Null,328,60,48,45,43,90,42,1,False
97,Hypno,Psychic,Null,483,85,73,70,73,115,67,1,False
98,Krabby,Water,Null,325,30,105,90,25,25,50,1,False
99,Kingler,Water,Null,475,55,130,115,50,50,75,1,False
100,Voltorb,Electric,Null,330,40,30,50,55,55,100,1,False
101,Electrode,Electric,Null,480,60,50,70,80,80,140,1,False
102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,False
103,Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,1,False
104,Cubone,Ground,Null,320,50,50,95,40,50,35,1,False
105,Marowak,Ground,Null,425,60,80,110,50,80,45,1,False
106,Hitmonlee,Fighting,Null,455,50,120,53,35,110,87,1,False
107,Hitmonchan,Fighting,Null,455,50,105,79,35,110,76,1,False
108,Lickitung,Normal,Null,385,90,55,75,60,75,30,1,False
109,Koffing,Poison,Null,340,40,65,95,60,45,35,1,False
110,Weezing,Poison,Null,490,65,90,120,85,70,60,1,False
111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,False
112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,False
113,Chansey,Normal,Null,450,250,5,5,35,105,50,1,False
114,Tangela,Grass,Null,435,65,55,115,100,40,60,1,False
115,Kangaskhan,Normal,Null,490,105,95,80,40,80,90,1,False
116,Horsea,Water,Null,295,30,40,70,70,25,60,1,False
117,Seadra,Water,Null,440,55,65,95,95,45,85,1,False
118,Goldeen,Water,Null,320,45,67,60,35,50,63,1,False
119,Seaking,Water,Null,450,80,92,65,65,80,68,1,False
120,Staryu,Water,Null,340,30,45,55,70,55,85,1,False
121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,False
122,Mr. Mime,Psychic,Null,460,40,45,65,100,120,90,1,False
123,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,False
124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,False
125,Electabuzz,Electric,Null,490,65,83,57,95,85,105,1,False
126,Magmar,Fire,Null,495,65,95,57,100,85,93,1,False
127,Pinsir,Bug,Null,500,65,125,100,55,70,85,1,False
128,Tauros,Normal,Null,490,75,100,95,40,70,110,1,False
129,Magikarp,Water,Null,200,20,10,55,15,20,80,1,False
130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,False
131,Lapras,Water,Ice,535,130,85,80,85,95,60,1,False
132,Ditto,Normal,Null,288,48,48,48,48,48,48,1,False
133,Eevee,Normal,Null,325,55,55,50,45,65,55,1,False
134,Vaporeon,Water,Null,525,130,65,60,110,95,65,1,False
135,Jolteon,Electric,Null,525,65,65,60,110,95,130,1,False
136,Flareon,Fire,Null,525,65,130,60,95,110,65,1,False
137,Porygon,Normal,Null,395,65,60,70,85,75,40,1,False
138,Omanyte,Rock,Water,355,35,40,100,90,55,35,1,False
139,Omastar,Rock,Water,495,70,60,125,115,70,55,1,False
140,Kabuto,Rock,Water,355,30,80,90,55,45,55,1,False
141,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,False
142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,False
143,Snorlax,Normal,Null,540,160,110,65,65,110,30,1,False
144,Articuno,Ice,Flying,580,90,85,100,95,125,85,1,True
145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True
146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,True
147,Dratini,Dragon,Null,300,41,64,45,50,50,50,1,False
148,Dragonair,Dragon,Null,420,61,84,65,70,70,70,1,False
149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,False
150,Mewtwo,Psychic,Null,680,106,110,90,154,90,130,1,True
151,Mew,Psychic,Null,600,100,100,100,100,100,100,1,False
152,Chikorita,Grass,Null,318,45,49,65,49,65,45,2,False
153,Bayleef,Grass,Null,405,60,62,80,63,80,60,2,False
154,Meganium,Grass,Null,525,80,82,100,83,100,80,2,False
155,Cyndaquil,Fire,Null,309,39,52,43,60,50,65,2,False
156,Quilava,Fire,Null,405,58,64,58,80,65,80,2,False
157,Typhlosion,Fire,Null,534,78,84,78,109,85,100,2,False
158,Totodile,Water,Null,314,50,65,64,44,48,43,2,False
159,Croconaw,Water,Null,405,65,80,80,59,63,58,2,False
160,Feraligatr,Water,Null,530,85,105,100,79,83,78,2,False
161,Sentret,Normal,Null,215,35,46,34,35,45,20,2,False
162,Furret,Normal,Null,415,85,76,64,45,55,90,2,False
163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,2,False
164,Noctowl,Normal,Flying,442,100,50,50,76,96,70,2,False
165,Ledyba,Bug,Flying,265,40,20,30,40,80,55,2,False
166,Ledian,Bug,Flying,390,55,35,50,55,110,85,2,False
167,Spinarak,Bug,Poison,250,40,60,40,40,40,30,2,False
168,Ariados,Bug,Poison,390,70,90,70,60,60,40,2,False
169,Crobat,Poison,Flying,535,85,90,80,70,80,130,2,False
170,Chinchou,Water,Electric,330,75,38,38,56,56,67,2,False
171,Lanturn,Water,Electric,460,125,58,58,76,76,67,2,False
172,Pichu,Electric,Null,205,20,40,15,35,35,60,2,False
173,Cleffa,Normal,Null,218,50,25,28,45,55,15,2,False
174,Igglybuff,Normal,Null,210,90,30,15,40,20,15,2,False
175,Togepi,Normal,Null,245,35,20,65,40,65,20,2,False
176,Togetic,Normal,Flying,405,55,40,85,80,105,40,2,False
177,Natu,Psychic,Flying,320,40,50,45,70,45,70,2,False
178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,2,False
179,Mareep,Electric,Null,280,55,40,40,65,45,35,2,False
180,Flaaffy,Electric,Null,365,70,55,55,80,60,45,2,False
181,Ampharos,Electric,Null,510,90,75,85,115,90,55,2,False
182,Bellossom,Grass,Null,490,75,80,95,90,100,50,2,False
183,Marill,Water,Null,250,70,20,50,20,50,40,2,False
184,Azumarill,Water,Null,420,100,50,80,60,80,50,2,False
185,Sudowoodo,Rock,Null,410,70,100,115,30,65,30,2,False
186,Politoed,Water,Null,500,90,75,75,90,100,70,2,False
187,Hoppip,Grass,Flying,250,35,35,40,35,55,50,2,False
188,Skiploom,Grass,Flying,340,55,45,50,45,65,80,2,False
189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,2,False
190,Aipom,Normal,Null,360,55,70,55,40,55,85,2,False
191,Sunkern,Grass,Null,180,30,30,30,30,30,30,2,False
192,Sunflora,Grass,Null,425,75,75,55,105,85,30,2,False
193,Yanma,Bug,Flying,390,65,65,45,75,45,95,2,False
194,Wooper,Water,Ground,210,55,45,45,25,25,15,2,False
195,Quagsire,Water,Ground,430,95,85,85,65,65,35,2,False
196,Espeon,Psychic,Null,525,65,65,60,130,95,110,2,False
197,Umbreon,Dark,Null,525,95,65,110,60,130,65,2,False
198,Murkrow,Dark,Flying,405,60,85,42,85,42,91,2,False
199,Slowking,Water,Psychic,490,95,75,80,100,110,30,2,False
200,Misdreavus,Ghost,Null,435,60,60,60,85,85,85,2,False
201,Unown,Psychic,Null,336,48,72,48,72,48,48,2,False
202,Wobbuffet,Psychic,Null,405,190,33,58,33,58,33,2,False
203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,2,False
204,Pineco,Bug,Null,290,50,65,90,35,35,15,2,False
205,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,False
206,Dunsparce,Normal,Null,415,100,70,70,65,65,45,2,False
207,Gligar,Ground,Flying,430,65,75,105,35,65,85,2,False
208,Steelix,Steel,Ground,510,75,85,200,55,65,30,2,False
209,Snubbull,Normal,Null,300,60,80,50,40,40,30,2,False
210,Granbull,Normal,Null,450,90,120,75,60,60,45,2,False
211,Qwilfish,Water,Poison,430,65,95,75,55,55,85,2,False
212,Scizor,Bug,Steel,500,70,130,100,55,80,65,2,False
213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,2,False
214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,False
215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,2,False
216,Teddiursa,Normal,Null,330,60,80,50,50,50,40,2,False
217,Ursaring,Normal,Null,500,90,130,75,75,75,55,2,False
218,Slugma,Fire,Null,250,40,40,40,70,40,20,2,False
219,Magcargo,Fire,Rock,410,50,50,120,80,80,30,2,False
220,Swinub,Ice,Ground,250,50,50,40,30,30,50,2,False
221,Piloswine,Ice,Ground,450,100,100,80,60,60,50,2,False
222,Corsola,Water,Rock,380,55,55,85,65,85,35,2,False
223,Remoraid,Water,Null,300,35,65,35,65,35,65,2,False
224,Octillery,Water,Null,480,75,105,75,105,75,45,2,False
225,Delibird,Ice,Flying,330,45,55,45,65,45,75,2,False
226,Mantine,Water,Flying,465,65,40,70,80,140,70,2,False
227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,False
228,Houndour,Dark,Fire,330,45,60,30,80,50,65,2,False
229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,False
230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,False
231,Phanpy,Ground,Null,330,90,60,60,40,40,40,2,False
232,Donphan,Ground,Null,500,90,120,120,60,60,50,2,False
233,Porygon2,Normal,Null,515,85,80,90,105,95,60,2,False
234,Stantler,Normal,Null,465,73,95,62,85,65,85,2,False
235,Smeargle,Normal,Null,250,55,20,35,20,45,75,2,False
236,Tyrogue,Fighting,Null,210,35,35,35,35,35,35,2,False
237,Hitmontop,Fighting,Null,455,50,95,95,35,110,70,2,False
238,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,2,False
239,Elekid,Electric,Null,360,45,63,37,65,55,95,2,False
240,Magby,Fire,Null,365,45,75,37,70,55,83,2,False
241,Miltank,Normal,Null,490,95,80,105,40,70,100,2,False
242,Blissey,Normal,Null,540,255,10,10,75,135,55,2,False
243,Raikou,Electric,Null,580,90,85,75,115,100,115,2,True
244,Entei,Fire,Null,580,115,115,85,90,75,100,2,True
245,Suicune,Water,Null,580,100,75,115,90,115,85,2,True
246,Larvitar,Rock,Ground,300,50,64,50,45,50,41,2,False
247,Pupitar,Rock,Ground,410,70,84,70,65,70,51,2,False
248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,False
249,Lugia,Psychic,Flying,680,106,90,130,90,154,110,2,True
250,Ho-oh,Fire,Flying,680,106,130,90,110,154,90,2,True
251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,False
252,Treecko,Grass,Null,310,40,45,35,65,55,70,3,False
253,Grovyle,Grass,Null,405,50,65,45,85,65,95,3,False
254,Sceptile,Grass,Null,530,70,85,65,105,85,120,3,False
255,Torchic,Fire,Null,310,45,60,40,70,50,45,3,False
256,Combusken,Fire,Fighting,405,60,85,60,85,60,55,3,False
257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,False
258,Mudkip,Water,Null,310,50,70,50,50,50,40,3,False
259,Marshtomp,Water,Ground,405,70,85,70,60,70,50,3,False
260,Swampert,Water,Ground,535,100,110,90,85,90,60,3,False
261,Poochyena,Dark,Null,220,35,55,35,30,30,35,3,False
262,Mightyena,Dark,Null,420,70,90,70,60,60,70,3,False
263,Zigzagoon,Normal,Null,240,38,30,41,30,41,60,3,False
264,Linoone,Normal,Null,420,78,70,61,50,61,100,3,False
265,Wurmple,Bug,Null,195,45,45,35,20,30,20,3,False
266,Silcoon,Bug,Null,205,50,35,55,25,25,15,3,False
267,Beautifly,Bug,Flying,395,60,70,50,100,50,65,3,False
268,Cascoon,Bug,Null,205,50,35,55,25,25,15,3,False
269,Dustox,Bug,Poison,385,60,50,70,50,90,65,3,False
270,Lotad,Water,Grass,220,40,30,30,40,50,30,3,False
271,Lombre,Water,Grass,340,60,50,50,60,70,50,3,False
272,Ludicolo,Water,Grass,480,80,70,70,90,100,70,3,False
273,Seedot,Grass,Null,220,40,40,50,30,30,30,3,False
274,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,3,False
275,Shiftry,Grass,Dark,480,90,100,60,90,60,80,3,False
276,Taillow,Normal,Flying,270,40,55,30,30,30,85,3,False
277,Swellow,Normal,Flying,430,60,85,60,50,50,125,3,False
278,Wingull,Water,Flying,270,40,30,30,55,30,85,3,False
279,Pelipper,Water,Flying,430,60,50,100,85,70,65,3,False
280,Ralts,Psychic,Null,198,28,25,25,45,35,40,3,False
281,Kirlia,Psychic,Null,278,38,35,35,65,55,50,3,False
282,Gardevoir,Psychic,Null,518,68,65,65,125,115,80,3,False
283,Surskit,Bug,Water,269,40,30,32,50,52,65,3,False
284,Masquerain,Bug,Flying,414,70,60,62,80,82,60,3,False
285,Shroomish,Grass,Null,295,60,40,60,40,60,35,3,False
286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,False
287,Slakoth,Normal,Null,280,60,60,60,35,35,30,3,False
288,Vigoroth,Normal,Null,440,80,80,80,55,55,90,3,False
289,Slaking,Normal,Null,670,150,160,100,95,65,100,3,False
290,Nincada,Bug,Ground,266,31,45,90,30,30,40,3,False
291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,False
292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,3,False
293,Whismur,Normal,Null,240,64,51,23,51,23,28,3,False
294,Loudred,Normal,Null,360,84,71,43,71,43,48,3,False
295,Exploud,Normal,Null,490,104,91,63,91,73,68,3,False
296,Makuhita,Fighting,Null,237,72,60,30,20,30,25,3,False
297,Hariyama,Fighting,Null,474,144,120,60,40,60,50,3,False
298,Azurill,Normal,Null,190,50,20,40,20,40,20,3,False
299,Nosepass,Rock,Null,375,30,45,135,45,90,30,3,False
300,Skitty,Normal,Null,260,50,45,45,35,35,50,3,False
301,Delcatty,Normal,Null,380,70,65,65,55,55,70,3,False
302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,3,False
303,Mawile,Steel,Null,380,50,85,85,55,55,50,3,False
304,Aron,Steel,Rock,330,50,70,100,40,40,30,3,False
305,Lairon,Steel,Rock,430,60,90,140,50,50,40,3,False
306,Aggron,Steel,Rock,530,70,110,180,60,60,50,3,False
307,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,3,False
308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,3,False
309,Electrike,Electric,Null,295,40,45,40,65,40,65,3,False
310,Manectric,Electric,Null,475,70,75,60,105,60,105,3,False
311,Plusle,Electric,Null,405,60,50,40,85,75,95,3,False
312,Minun,Electric,Null,405,60,40,50,75,85,95,3,False
313,Volbeat,Bug,Null,400,65,73,55,47,75,85,3,False
314,Illumise,Bug,Null,400,65,47,55,73,75,85,3,False
315,Roselia,Grass,Poison,400,50,60,45,100,80,65,3,False
316,Gulpin,Poison,Null,302,70,43,53,43,53,40,3,False
317,Swalot,Poison,Null,467,100,73,83,73,83,55,3,False
318,Carvanha,Water,Dark,305,45,90,20,65,20,65,3,False
319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,3,False
320,Wailmer,Water,Null,400,130,70,35,70,35,60,3,False
321,Wailord,Water,Null,500,170,90,45,90,45,60,3,False
322,Numel,Fire,Ground,305,60,60,40,65,45,35,3,False
323,Camerupt,Fire,Ground,460,70,100,70,105,75,40,3,False
324,Torkoal,Fire,Null,470,70,85,140,85,70,20,3,False
325,Spoink,Psychic,Null,330,60,25,35,70,80,60,3,False
326,Grumpig,Psychic,Null,470,80,45,65,90,110,80,3,False
327,Spinda,Normal,Null,360,60,60,60,60,60,60,3,False
328,Trapinch,Ground,Null,290,45,100,45,45,45,10,3,False
329,Vibrava,Ground,Dragon,340,50,70,50,50,50,70,3,False
330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,False
331,Cacnea,Grass,Null,335,50,85,40,85,40,35,3,False
332,Cacturne,Grass,Dark,475,70,115,60,115,60,55,3,False
333,Swablu,Normal,Flying,310,45,40,60,40,75,50,3,False
334,Altaria,Dragon,Flying,490,75,70,90,70,105,80,3,False
335,Zangoose,Normal,Null,458,73,115,60,60,60,90,3,False
336,Seviper,Poison,Null,458,73,100,60,100,60,65,3,False
337,Lunatone,Rock,Psychic,440,70,55,65,95,85,70,3,False
338,Solrock,Rock,Psychic,440,70,95,85,55,65,70,3,False
339,Barboach,Water,Ground,288,50,48,43,46,41,60,3,False
340,Whiscash,Water,Ground,468,110,78,73,76,71,60,3,False
341,Corphish,Water,Null,308,43,80,65,50,35,35,3,False
342,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,3,False
343,Baltoy,Ground,Psychic,300,40,40,55,40,70,55,3,False
344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,3,False
345,Lileep,Rock,Grass,355,66,41,77,61,87,23,3,False
346,Cradily,Rock,Grass,495,86,81,97,81,107,43,3,False
347,Anorith,Rock,Bug,355,45,95,50,40,50,75,3,False
348,Armaldo,Rock,Bug,495,75,125,100,70,80,45,3,False
349,Feebas,Water,Null,200,20,15,20,10,55,80,3,False
350,Milotic,Water,Null,540,95,60,79,100,125,81,3,False
351,Castform,Normal,Null,420,70,70,70,70,70,70,3,False
352,Kecleon,Normal,Null,440,60,90,70,60,120,40,3,False
353,Shuppet,Ghost,Null,295,44,75,35,63,33,45,3,False
354,Banette,Ghost,Null,455,64,115,65,83,63,65,3,False
355,Duskull,Ghost,Null,295,20,40,90,30,90,25,3,False
356,Dusclops,Ghost,Null,455,40,70,130,60,130,25,3,False
357,Tropius,Grass,Flying,460,99,68,83,72,87,51,3,False
358,Chimecho,Psychic,Null,425,65,50,70,95,80,65,3,False
359,Absol,Dark,Null,465,65,130,60,75,60,75,3,False
360,Wynaut,Psychic,Null,260,95,23,48,23,48,23,3,False
361,Snorunt,Ice,Null,300,50,50,50,50,50,50,3,False
362,Glalie,Ice,Null,480,80,80,80,80,80,80,3,False
363,Spheal,Ice,Water,290,70,40,50,55,50,25,3,False
364,Sealeo,Ice,Water,410,90,60,70,75,70,45,3,False
365,Walrein,Ice,Water,530,110,80,90,95,90,65,3,False
366,Clamperl,Water,Null,345,35,64,85,74,55,32,3,False
367,Huntail,Water,Null,485,55,104,105,94,75,52,3,False
368,Gorebyss,Water,Null,485,55,84,105,114,75,52,3,False
369,Relicanth,Water,Rock,485,100,90,130,45,65,55,3,False
370,Luvdisc,Water,Null,330,43,30,55,40,65,97,3,False
371,Bagon,Dragon,Null,300,45,75,60,40,30,50,3,False
372,Shelgon,Dragon,Null,420,65,95,100,60,50,50,3,False
373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,3,False
374,Beldum,Steel,Psychic,300,40,55,80,35,60,30,3,False
375,Metang,Steel,Psychic,420,60,75,100,55,80,50,3,False
376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,3,False
377,Regirock,Rock,Null,580,80,100,200,50,100,50,3,True
378,Regice,Ice,Null,580,80,50,100,100,200,50,3,True
379,Registeel,Steel,Null,580,80,75,150,75,150,50,3,True
380,Latias,Dragon,Psychic,600,80,80,90,110,130,110,3,True
381,Latios,Dragon,Psychic,600,80,90,80,130,110,110,3,True
382,Kyogre,Water,Null,670,100,100,90,150,140,90,3,True
383,Groudon,Ground,Null,670,100,150,140,100,90,90,3,True
384,Rayquaza,Dragon,Flying,680,105,150,90,150,90,95,3,True
385,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,3,True
386,Deoxys,Psychic,Null,600,50,150,50,150,50,150,3,True
386,Deoxys-A,Psychic,Null,600,50,180,20,180,20,150,3,True
386,Deoxys-D,Psychic,Null,600,50,70,160,70,160,90,3,True
386,Deoxys-S,Psychic,Null,600,50,95,90,95,90,180,3,True
