Entry,Name,Species,Instance,Nature,Item,Move 1,Move 2,Move 3,Move 4,Possible Ability,EVs (HP/Atk/Def/SpA/SpD/Spe),HP EV,Atk EV,Def EV,SpA EV,SpD EV,Speed EV,Level 100 stats,Lv 100 speed,Level 50 stats,Lv 50 Speed,Fixed IVs (Brains only)
17,Sentret 1,Sentret,1,Docile,King's Rock,Quick Attack,Follow Me,Helping Hand,Assist,Run Away / Keen Eye,255 HP / 255 Atk,255,255,,,,,274/191/104/106/126/76,76,142/98/54/55/65/40,40,31
18,Cleffa 1,Cleffa,1,Serious,Lax Incense,Sweet Kiss,Sing,Attract,Metronome,Cute Charm,255 HP / 255 SpA,255,,,255,,,304/86/92/189/146/66,66,157/45/48/97/75/35,35,31
19,Seedot 1,Seedot,1,Docile,Focus Band,Bullet Seed,Bide,Defense Curl,Rollout,Chlorophyll / Early Bird,255 HP / 255 Atk,255,255,,,,,284/179/136/96/96/96,96,147/92/70/50/50/50,50,31
20,Lotad 1,Lotad,1,Docile,Lax Incense,Rain Dance,Water Pulse,Sunny Day,Mega Drain,Swift Swim / Rain Dish,255 HP / 255 SpA,255,,,255,,,284/96/96/179/136/96,96,147/50/50/92/70/50,50,31
21,Poochyena 1,Poochyena,1,Relaxed,Petaya Berry,Crunch,Swagger,Roar,Sand-Attack,Run Away,255 HP / 255 SpA,255,,,255,,,274/146/116/159/96/95,95,142/75/61/82/50/49,49,31
22,Shedinja 1,Shedinja,1,Naive,Lax Incense,Shadow Ball,Confuse Ray,Silver Wind,Grudge,Wonder Guard,255 HP / 255 Speed,255,,,,,255,1/216/126/96/86/196,196,1/110/65/50/45/101,101,31
23,Makuhita 1,Makuhita,1,Docile,Scope Lens,Fake Out,Seismic Toss,Detect,Whirlwind,Thick Fat / Guts,255 HP / 255 Atk,255,255,,,,,348/219/96/76/96/86,86,179/112/50/40/50/45,45,31
24,Whismur 1,Whismur,1,Relaxed,Cheri Berry,Uproar,Swagger,Body Slam,SmellingSalt,Soundproof,255 HP / 255 Atk,255,255,,,,,332/201/90/138/82/82,82,171/103/47/71/43/43,43,31
25,Zigzagoon 1,Zigzagoon,1,Timid,Silk Scarf,Headbutt,Pin Missile,Swift,Sand-Attack,Pickup,255 HP / 255 Atk,255,255,,,,,280/143/118/96/118/171,171,145/73/61/50/61/88,88,31
26,Zubat 1,Zubat,1,Sassy,Cheri Berry,Poison Fang,Whirlwind,Confuse Ray,Aerial Ace,Inner Focus,255 HP / 255 Atk,255,255,,,,,284/189/106/96/127/131,131,147/97/55/50/66/67,67,31
27,Togepi 1,Togepi,1,Relaxed,Lax Incense,Return,Yawn,Wish,Sweet Kiss,Hustle / Serene Grace,255 HP / 255 Atk,255,255,,,,,274/139/182/116/166/68,68,142/72/94/60/85/36,36,31
28,Spinarak 1,Spinarak,1,Quirky,Liechi Berry,Signal Beam,Night Shade,Spider Web,Scary Face,Swarm / Insomnia,255 HP / 255 Atk,255,255,,,,,284/219/116/116/116/96,96,147/112/60/60/60/50,50,31
29,Marill 1,Marill,1,Gentle,Mystic Water,Water Pulse,Rain Dance,Light Screen,Return,Thick Fat / Huge Power,255 HP / 255 Atk,255,255,,,,,344/139/122/76/149/116,116,177/72/63/40/77/60,60,31
30,Hoppip 1,Hoppip,1,Lax,Lax Incense,Mega Drain,Leech Seed,Sleep Powder,Stun Spore,Chlorophyll,255 Def / 255 SpD,,,255,,255,,211/106/196/106/188/136,136,110/55/101/55/96/70,70,31
31,Slugma 1,Slugma,1,Sassy,Sitrus Berry,Ember,Rock Slide,Yawn,Body Slam,Magma Armor / Flame Body,170 HP / 170 Def / 170 SpD,170,,170,,170,,263/116/158/176/173/68,68,136/60/81/90/89/36,36,31
32,Swinub 1,Swinub,1,Gentle,Sitrus Berry,Icy Wind,Dig,Rock Tomb,Endure,Oblivious,255 Atk / 255 SpA,,255,,255,,,241/199/104/159/105/136,136,125/102/54/82/55/70,70,31
33,Smeargle 1,Smeargle,1,Hardy,King's Rock,ExtremeSpeed,Fake Out,Quick Attack,Mach Punch,Own Tempo,255 HP / 255 Atk,255,255,,,,,314/139/106/76/126/186,186,162/72/55/40/65/95,95,31
34,Pidgey 1,Pidgey,1,Lonely,Sharp Beak,Gust,Sand-Attack,Whirlwind,Quick Attack,Keen Eye,255 HP / 255 Atk,255,255,,,,,284/207/104/106/106/148,148,147/106/54/55/55/76,76,31
35,Rattata 1,Rattata,1,Docile,King's Rock,Hyper Fang,Pursuit,Quick Attack,Swagger,Run Away / Guts,255 HP / 255 Atk,255,255,,,,,264/211/106/86/106/180,180,137/108/55/45/55/92,92,31
36,Wynaut 1,Wynaut,1,Jolly,Lax Incense,Encore,Counter,Mirror Coat,Charm,Shadow Tag,255 Def / 255 SpD,,,255,,255,,331/82/195/73/195/90,90,170/43/100/39/100/47,47,31
37,Skitty 1,Skitty,1,Docile,BrightPowder,Sing,Attract,Charm,DoubleSlap,Cute Charm,255 HP / 255 Atk,255,255,,,,,304/189/126/106/106/136,136,157/97/65/55/55/70,70,31
38,Spearow 1,Spearow,1,Docile,Liechi Berry,Fury Attack,Pursuit,Mirror Move,Protect,Keen Eye,255 HP / 255 Speed,255,,,,,255,284/156/96/98/98/239,239,147/80/50/51/51/122,122,31
39,Hoothoot 1,Hoothoot,1,Quirky,Persim Berry,Confusion,Hypnosis,Supersonic,Reflect,Insomnia / Keen Eye,255 HP / 255 SpA,255,,,255,,,324/96/96/171/148/136,136,167/50/50/88/76/70,70,31
40,Diglett 1,Diglett,1,Naive,King's Rock,Magnitude,Slash,Rock Tomb,Sand-Attack,Sand Veil / Arena Trap,255 Atk / 255 Speed,,255,,,,255,161/209/86/106/113/317,317,85/107/45/55/58/161,161,31
41,Ledyba 1,Ledyba,1,Bashful,Sitrus Berry,Psybeam,Agility,Baton Pass,Light Screen,Swarm / Early Bird,255 HP / 255 SpA,255,,,255,,,284/76/96/179/196/146,146,147/40/50/92/100/75,75,31
42,Nincada 1,Nincada,1,Calm,Pecha Berry,Mud-Slap,Dig,Toxic,Protect,Compoundeyes,255 HP / 255 Atk,255,255,,,,,266/170/216/96/105/116,116,138/87/110/50/55/60,60,31
43,Surskit 1,Surskit,1,Relaxed,Mystic Water,BubbleBeam,Rain Dance,Sweet Scent,Quick Attack,Swift Swim,255 HP / 255 SpA,255,,,255,,,284/96/110/199/140/149,149,147/50/57/102/72/76,76,31
44,Jigglypuff 1,Jigglypuff,1,Relaxed,Lax Incense,Sing,Wish,Mimic,DoubleSlap,Cute Charm,170 HP / 170 Def / 170 SpD,170,,170,,170,,413/126/129/126/128/68,68,211/65/67/65/66/36,36,31
45,Taillow 1,Taillow,1,Gentle,Salac Berry,Fly,Quick Attack,Endeavor,Focus Energy,Guts,170 HP / 170 Atk / 170 Speed,170,170,,,,170,263/188/86/96/105/248,248,136/96/45/50/55/126,126,31
46,Wingull 1,Wingull,1,Hardy,Persim Berry,Water Pulse,Fly,Quick Attack,Steel Wing,Keen Eye,255 HP / 255 SpA,255,,,255,,,284/96/96/209/96/206,206,147/50/50/107/50/105,105,31
47,Nidoran♂ 1,Nidoran♂,1,Quirky,Sitrus Berry,Double Kick,Poison Sting,Disable,Helping Hand,Poison Point,255 HP / 255 Atk,255,255,,,,,296/213/116/116/116/136,136,153/109/60/60/60/70,70,31
48,Nidoran♀ 1,Nidoran♀,1,Quirky,Sitrus Berry,Crunch,Double Kick,Flatter,Helping Hand,Poison Point,255 HP / 255 Atk,255,255,,,,,314/193/140/116/116/118,118,162/99/72/60/60/61,61,31
49,Kirlia 1,Kirlia,1,Docile,White Herb,Confusion,Will-O-Wisp,Future Sight,Light Screen,Synchronize / Trace,255 HP / 255 Speed,255,,,,,255,280/106/106/166/146/199,199,145/55/55/85/75/102,102,31
50,Mareep 1,Mareep,1,Relaxed,Cheri Berry,Shock Wave,Flash,Reflect,Cotton Spore,Static,255 HP / 255 SpA,255,,,255,,,314/116/127/229/126/95,95,162/60/66/117/65/49,49,31
51,Meditite 1,Meditite,1,Naughty,Mental Herb,Hi Jump Kick,Meditate,Swagger,Psych Up,Pure Power,255 HP / 255 Atk,255,255,,,,,264/196/146/116/131/156,156,137/101/75/60/67/80,80,31
52,Slakoth 1,Slakoth,1,Quirky,Leftovers,Yawn,Scratch,Encore,Counter,Truant,255 HP / 255 Atk,255,255,,,,,324/219/156/106/106/96,96,167/112/80/55/55/50,50,31
53,Paras 1,Paras,1,Relaxed,Sitrus Berry,Spore,Leech Life,Slash,Light Screen,Effect Spore,255 HP / 255 SpA,255,,,255,,,274/176/160/189/146/77,77,142/90/83/97/75/40,40,31
54,Ekans 1,Ekans,1,Docile,Poison Barb,Acid,Dig,Screech,Torment,Intimidate / Shed Skin,255 HP / 255 Atk,255,255,,,,,274/219/124/116/144/146,146,142/112/64/60/74/75,75,31
55,Ditto 1,Ditto,1,Hardy,Metal Powder,Transform,---,---,---,Limber,255 HP / 255 Speed,255,,,,,255,300/132/132/132/132/195,195,155/68/68/68/68/100,100,31
56,Barboach 1,Barboach,1,Bashful,Focus Band,Magnitude,Water Pulse,Spark,Future Sight,Oblivious,255 Atk / 255 SpA,,255,,255,,,241/195/122/191/118/156,156,125/100/63/98/61/80,80,31
57,Meowth 1,Meowth,1,Quirky,Persim Berry,Slash,Bite,Screech,Fake Out,Pickup,255 HP / 255 Atk,255,255,,,,,284/189/106/116/116/216,216,147/97/55/60/60/110,110,31
58,Pineco 1,Pineco,1,Quirky,Focus Band,Selfdestruct,Take Down,Reflect,Light Screen,Sturdy,255 HP / 255 Atk,255,255,,,,,304/229/216/106/106/66,66,157/117/110/55/55/35,35,31
59,Trapinch 1,Trapinch,1,Serious,Lax Incense,Toxic,Dig,Sandstorm,Sand-Attack,Hyper Cutter / Arena Trap,255 HP / 255 Atk,255,255,,,,,294/299/126/126/126/56,56,152/152/65/65/65/30,30,31
60,Spheal 1,Spheal,1,Docile,NeverMeltIce,Ice Ball,Water Pulse,Hail,Mud-Slap,Thick Fat,255 HP / 255 SpA,255,,,255,,,344/116/136/209/136/86,86,177/60/70/107/70/45,45,31
61,Horsea 1,Horsea,1,Relaxed,Petaya Berry,Water Gun,Agility,Icy Wind,Twister,Swift Swim,255 HP / 255 SpA,255,,,255,,,264/116/193/239/86/140,140,137/60/99/122/45/72,72,31
62,Shroomish 1,Shroomish,1,Relaxed,Miracle Seed,Spore,Bullet Seed,Leech Seed,Headbutt,Effect Spore,255 HP / 255 SpA,255,,,255,,,324/116/171/179/156/95,95,167/60/88/92/80/49,49,31
63,Shuppet 1,Shuppet,1,Rash,Rawst Berry,Will-O-Wisp,Night Shade,Grudge,Knock Off,Insomnia,255 HP / 255 Atk,255,255,,,,,292/249/106/178/91/126,126,151/127/55/91/48/65,65,31
64,Duskull 1,Duskull,1,Quirky,Persim Berry,Skill Swap,Night Shade,Disable,Confuse Ray,Levitate,255 HP / 255 Speed,255,,,,,255,244/116/216/96/216/149,149,127/60/110/50/110/77,77,31
65,Electrike 1,Electrike,1,Docile,Cheri Berry,Spark,Thunder Wave,Roar,Quick Attack,Static / Lightningrod,255 HP / 255 Speed,255,,,,,255,284/126/116/166/116/229,229,147/65/60/85/60/117,117,31
66,Vulpix 1,Vulpix,1,Docile,Rawst Berry,Will-O-Wisp,Confuse Ray,Fire Spin,Quick Attack,Flash Fire,255 HP / 255 Speed,255,,,,,255,280/118/116/136/166/229,229,145/61/60/70/85/117,117,31
67,Pikachu 1,Pikachu,1,Docile,Light Ball,ThunderPunch,Thunder Wave,Double Team,Quick Attack,Static,255 HP / 255 Speed,255,,,,,255,274/146/96/136/116/279,279,142/75/50/70/60/142,142,31
68,Sandshrew 1,Sandshrew,1,Docile,Soft Sand,Dig,Rock Tomb,Sandstorm,Sand-Attack,Sand Veil,255 HP / 255 Atk,255,255,,,,,304/249/206/76/96/116,116,157/127/105/40/50/60,60,31
69,Poliwag 1,Poliwag,1,Relaxed,Mystic Water,Hypnosis,Icy Wind,Water Gun,Rain Dance,Water Absorb / Damp,255 HP / 255 Speed,255,,,,,255,284/136/127/116/116/251,251,147/70/66/60/60/127,127,31
70,Bellsprout 1,Bellsprout,1,Lax,Sitrus Berry,Razor Leaf,Acid,Stun Spore,Wrap,Chlorophyll,170 HP / 170 Def / 170 SpD,170,,170,,170,,283/186/162/176/124/116,116,146/95/84/90/64/60,60,31
71,Geodude 1,Geodude,1,Brave,Focus Band,Magnitude,Rock Blast,Strength,Protect,Rock Head / Sturdy,255 HP / 255 Atk,255,255,,,,,284/284/236/96/96/68,68,147/145/120/50/50/36,36,31
72,Dratini 1,Dratini,1,Docile,Persim Berry,Outrage,Thunder Wave,Supersonic,Water Pulse,Shed Skin,255 HP / 255 SpA,255,,,255,,,286/164/126/199/136/136,136,148/84/65/102/70/70,70,31
73,Snubbull 1,Snubbull,1,Relaxed,Scope Lens,Bite,Charm,Swagger,Scary Face,Intimidate / Run Away,255 HP / 255 Atk,255,255,,,,,324/259/149/116/116/86,86,167/132/77/60/60/45,45,31
74,Remoraid 1,Remoraid,1,Quirky,Petaya Berry,BubbleBeam,Aurora Beam,Psybeam,Protect,Hustle,255 SpA / 255 Speed,,,,255,,255,211/166/106/229/106/229,229,110/85/55/117/55/117,117,31
75,Larvitar 1,Larvitar,1,Naughty,Persim Berry,Thrash,Rock Slide,Dig,Dragon Dance,Guts,255 HP / 255 Atk,255,255,,,,,304/249/136/126/122/118,118,157/127/70/65/63/61,61,31
76,Baltoy 1,Baltoy,1,Naughty,Persim Berry,Psybeam,AncientPower,Light Screen,Mud-Slap,Levitate,255 Atk / 255 SpA,,255,,255,,,221/196/146/179/158/146,146,115/101/75/92/81/75,75,31
77,Snorunt 1,Snorunt,1,Brave,Persim Berry,Icy Wind,Headbutt,Leer,Bite,Inner Focus,255 HP / 255 Atk,255,255,,,,,304/218/136/136/136/122,122,157/112/70/70/70/63,63,31
78,Bagon 1,Bagon,1,Naughty,Liechi Berry,DragonBreath,Headbutt,Brick Break,Scary Face,Rock Head,255 HP / 255 Atk,255,255,,,,,294/273/156/116/86/136,136,152/139/80/60/45/70,70,31
79,Beldum 1,Beldum,1,Hardy,Choice Band,Take Down,---,---,---,Clear Body,255 HP / 255 Atk,255,255,,,,,284/209/196/106/156/96,96,147/107/100/55/80/50,50,31
80,Gulpin 1,Gulpin,1,Serious,Lax Incense,Toxic,Yawn,Pain Split,Attract,Liquid Ooze / Sticky Hold,170 HP / 170 Def / 170 SpD,170,,170,,170,,323/122/184/122/184/116,116,166/63/94/63/94/60,60,31
81,Venonat 1,Venonat,1,Relaxed,Sitrus Berry,Psybeam,Supersonic,Stun Spore,Skill Swap,Compoundeyes,255 HP / 255 SpA,255,,,255,,,324/146/149/179/146/113,113,167/75/77/92/75/58,58,31
82,Mankey 1,Mankey,1,Naughty,Black Belt,Karate Chop,Low Kick,Screech,Swagger,Vital Spirit,255 HP / 255 Atk,255,255,,,,,284/284/106/106/113/176,176,147/145/55/55/58/90,90,31
83,Machop 1,Machop,1,Adamant,Scope Lens,Seismic Toss,Revenge,Rock Tomb,Scary Face,Guts,255 HP / 255 Atk,255,255,,,,,344/284/136/95/106/106,106,177/145/70/49/55/55,55,31
84,Shellder 1,Shellder,1,Relaxed,Cheri Berry,Icicle Spear,Supersonic,Clamp,Withdraw,Shell Armor,255 HP / 255 SpA,255,,,255,,,264/166/259/189/86/104,104,137/85/132/97/45/54,54,31
85,Smoochum 1,Smoochum,1,Docile,BrightPowder,Sweet Kiss,Sing,Mud-Slap,Fake Out,Oblivious,255 HP / 255 Atk,255,255,,,,,294/159/66/206/166/166,166,152/82/35/105/85/85,85,31
86,Numel 1,Numel,1,Hardy,Lax Incense,Ember,Magnitude,Rock Tomb,Sandstorm,Oblivious,255 HP / 255 Atk,255,255,,,,,324/219/116/166/126/106,106,167/112/60/85/65/55,55,31
87,Carvanha 1,Carvanha,1,Quiet,Shell Bell,Bite,Screech,Scary Face,Swagger,Rough Skin,255 HP / 255 SpA,255,,,255,,,294/216/76/251/76/149,149,152/110/40/128/40/76,76,31
88,Corphish 1,Corphish,1,Brave,Mystic Water,Crabhammer,Water Pulse,Mud-Slap,Protect,Hyper Cutter / Shell Armor,255 HP / 255 SpA,255,,,255,,,290/215/166/199/106/95,95,150/110/85/102/55/49,49,31
89,Charmander 1,Charmander,1,Docile,Focus Band,Fire Spin,Metal Claw,SmokeScreen,Scary Face,Blaze,255 HP / 255 SpA,255,,,255,,,282/140/122/219/136/166,166,146/72/63/112/70/85,85,31
90,Cyndaquil 1,Cyndaquil,1,Docile,Sitrus Berry,Ember,Swift,Quick Attack,SmokeScreen,Blaze,255 HP / 255 SpA,255,,,255,,,282/140/122/219/136/166,166,146/72/63/112/70/85,85,31
91,Abra 1,Abra,1,Lonely,TwistedSpoon,Mimic,Metronome,Flash,Seismic Toss,Synchronize / Inner Focus,255 HP / 255 Speed,255,,,,,255,254/83/59/246/146/279,279,132/44/31/125/75/142,142,31
92,Doduo 1,Doduo,1,Lonely,Liechi Berry,Fury Attack,Uproar,Mud-Slap,Faint Attack,Run Away / Early Bird,255 HP / 255 Speed,255,,,,,255,274/226/113/106/106/249,249,142/116/58/55/55/127,127,31
93,Gastly 1,Gastly,1,Lonely,Lax Incense,Dream Eater,Hypnosis,Night Shade,Confuse Ray,Levitate,255 HP / 255 Speed,255,,,,,255,264/116/86/236/106/259,259,137/61/45/120/55/132,132,31
94,Swablu 1,Swablu,1,Lonely,Mental Herb,Take Down,Dream Eater,Sing,Attract,Natural Cure,255 HP / 255 SpA,255,,,255,,,294/127/140/179/186/136,136,152/66/72/92/95/70,70,31
95,Treecko 1,Treecko,1,Lonely,Scope Lens,Bullet Seed,Aerial Ace,Quick Attack,Double Team,Overgrow,255 Atk / 255 SpA,,255,,255,,,221/207/95/229/146/176,176,115/106/49/117/75/90,90,31
96,Torchic 1,Torchic,1,Lonely,BrightPowder,Fire Spin,Quick Attack,Sand-Attack,Double Team,Blaze,255 HP / 255 SpA,255,,,255,,,294/171/104/239/136/126,126,152/88/54/122/70/65,65,31
97,Mudkip 1,Mudkip,1,Docile,Focus Band,Whirlpool,Endeavor,Mud Sport,Mud-Slap,Torrent,255 HP / 255 SpA,255,,,255,,,304/176/136/199/136/116,116,157/90/70/102/70/60,60,31
98,Squirtle 1,Squirtle,1,Docile,Sitrus Berry,Water Pulse,Bite,Withdraw,Protect,Torrent,255 HP / 255 SpA,255,,,255,,,292/132/166/199/164/122,122,151/68/85/102/84/63,63,31
99,Totodile 1,Totodile,1,Docile,Scope Lens,Slash,Water Pulse,Screech,Icy Wind,Torrent,255 HP / 255 SpA,255,,,255,,,304/166/164/187/132/122,122,157/85/84/96/68/63,63,31
100,Slowpoke 1,Slowpoke,1,Brave,Sitrus Berry,Confusion,Disable,Water Pulse,Yawn,Oblivious / Own Tempo,255 HP / 255 SpA,255,,,255,,,384/182/166/179/116/59,59,197/94/85/92/60/31,31,31
101,Bulbasaur 1,Bulbasaur,1,Relaxed,BrightPowder,Razor Leaf,Sweet Scent,Sleep Powder,Light Screen,Overgrow,255 HP / 255 SpA,255,,,255,,,294/134/147/229/166/113,113,152/69/76/117/85/58,58,31
102,Chikorita 1,Chikorita,1,Relaxed,BrightPowder,Secret Power,Bullet Seed,Mud-Slap,Light Screen,Overgrow,255 HP / 255 SpA,255,,,255,,,294/134/182/197/166/113,113,152/69/94/101/85/58,58,31
103,Oddish 1,Oddish,1,Relaxed,Pecha Berry,Acid,Stun Spore,Sweet Scent,Moonlight,Chlorophyll,255 HP / 255 Atk,255,255,,,,,294/199/160/186/166/86,86,152/102/83/95/85/45,45,31
104,Psyduck 1,Psyduck,1,Hasty,Persim Berry,Confusion,Fury Swipes,Aerial Ace,Disable,Damp / Cloud Nine,255 Atk / 255 SpA,,255,,255,,,241/203/118/229/136/160,160,125/104/61/117/70/83,83,31
105,Cubone 1,Cubone,1,Hardy,Soft Sand,Bone Club,Headbutt,Brick Break,Aerial Ace,Rock Head / Lightningrod,255 HP / 255 Atk,255,255,,,,,304/199/226/116/136/106,106,157/102/115/60/70/55,55,31
106,Goldeen 1,Goldeen,1,Docile,Petaya Berry,Waterfall,Fury Attack,Agility,Psybeam,Swift Swim / Water Veil,255 HP / 255 SpA,255,,,255,,,294/170/156/169/136/162,162,152/87/80/87/70/83,83,31
107,Natu 1,Natu,1,Relaxed,TwistedSpoon,Night Shade,Future Sight,Confuse Ray,Flash,Synchronize / Early Bird,255 HP / 255 SpA,255,,,255,,,284/136/138/239/126/158,158,147/70/72/122/65/81,81,31
108,Clefairy 1,Clefairy,1,Lonely,Lax Incense,Follow Me,Return,Encore,Sing,Cute Charm,255 HP / 255 Atk,255,255,,,,,344/207/118/156/166/106,106,177/106/61/80/85/55,55,31
109,Magnemite 1,Magnemite,1,Gentle,Rawst Berry,Shock Wave,Supersonic,Metal Sound,Reflect,Magnet Pull / Sturdy,255 SpA / 255 Speed,,,,255,,255,191/106/158/289/160/189,189,100/55/81/147/83/97,97,31
110,Seel 1,Seel,1,Hardy,Aspear Berry,Aurora Beam,Dive,Body Slam,Fake Out,Thick Fat,255 HP / 255 SpA,255,,,255,,,334/126/146/189/176/126,126,172/65/75/97/90/65,65,31
111,Grimer 1,Grimer,1,Quirky,Pecha Berry,Sludge,Rock Tomb,Acid Armor,Minimize,Stench / Sticky Hold,170 HP / 170 Def / 170 SpD,170,,170,,170,,343/196/178/116/178/86,86,176/100/91/60/91/45,45,31
112,Krabby 1,Krabby,1,Hardy,Focus Band,Crabhammer,Mud Shot,Flail,Knock Off,Hyper Cutter / Shell Armor,255 HP / 255 Atk,255,255,,,,,264/309/216/86/86/136,136,137/157/110/45/45/70,70,31
113,Exeggcute 1,Exeggcute,1,Naughty,Persim Berry,Confusion,AncientPower,Leech Seed,Light Screen,Chlorophyll,255 HP / 255 SpA,255,,,255,,,324/127/196/219/113/116,116,167/66/100/112/58/60,60,31
114,Eevee 1,Eevee,1,Docile,Salac Berry,Charm,Attract,Flail,Endure,Run Away,255 HP / 255 Speed,255,,,,,255,314/146/136/126/166/209,209,162/75/70/65/85/107,107,31
115,Drowzee 1,Drowzee,1,Quirky,Sitrus Berry,Confusion,Headbutt,Disable,Barrier,Insomnia,170 HP / 170 Atk / 170 SpA,170,170,,170,,,303/174/126/164/216/120,120,156/89/65/84/110/62,62,31
116,Voltorb 1,Voltorb,1,Docile,Lax Incense,Spark,Screech,Rollout,Light Screen,Soundproof / Static,255 HP / 255 SpA,255,,,255,,,284/96/136/209/146/236,236,147/50/70/107/75/120,120,31
117,Chinchou 1,Chinchou,1,Hardy,Lax Incense,Spark,Dive,Confuse Ray,Take Down,Volt Absorb / Illuminate,255 Atk / 255 SpA,,255,,255,,,291/175/112/211/148/170,170,150/90/58/108/76/87,87,31
118,Teddiursa 1,Teddiursa,1,Relaxed,Chesto Berry,Secret Power,Fake Tears,Faint Attack,Rest,Pickup,255 HP / 255 Atk,255,255,,,,,324/259/149/136/136/104,104,167/132/77/70/70/54,54,31
119,Delibird 1,Delibird,1,Docile,NeverMeltIce,Present,Ice Ball,Aerial Ace,Hail,Vital Spirit / Hustle,255 HP / 255 SpA,255,,,255,,,294/146/126/229/126/186,186,152/75/65/117/65/95,95,31
120,Houndour 1,Houndour,1,Docile,Charcoal,Crunch,Ember,Roar,Protect,Early Bird / Flash Fire,255 HP / 255 SpA,255,,,255,,,294/156/96/259/136/166,166,152/80/50/132/70/85,85,31
121,Phanpy 1,Phanpy,1,Naughty,Lax Incense,Rollout,Defense Curl,Rock Tomb,Sandstorm,Pickup,255 HP / 255 Atk,255,255,,,,,384/240/156/116/104/116,116,197/123/80/60/54/60,60,31
122,Spoink 1,Spoink,1,Relaxed,Sitrus Berry,Psywave,Bounce,Magic Coat,Confuse Ray,Thick Fat / Own Tempo,255 HP / 255 SpA,255,,,255,,,324/86/116/239/196/140,140,167/45/61/122/100/72,72,31
123,Aron 1,Aron,1,Docile,Persim Berry,Metal Claw,Aerial Ace,Metal Sound,Roar,Sturdy / Rock Head,255 HP / 255 Atk,255,255,,,,,304/239/236/116/116/96,96,157/122/120/60/60/50,50,31
